Aleutians East Borough,AK,355,1,
Aleutians West Census Area,AK,489,0,
Anchorage,AK,26184,151,
Bethel Census Area,AK,3527,18,
Bristol Bay Plus Lake And Peninsula,AK,176,0,
Denali Borough,AK,68,0,
Dillingham Census Area,AK,196,1,
Fairbanks North Star Borough,AK,6058,26,
Haines Borough,AK,24,0,
Juneau City And Borough,AK,1192,3,
Kenai Peninsula Borough,AK,3942,19,
Ketchikan Gateway Borough,AK,330,2,
Kodiak Island Borough,AK,1051,5,
Kusilvak Census Area,AK,1186,3,
Matanuska-Susitna Borough,AK,8284,33,
Nome Census Area,AK,322,0,
North Slope Borough,AK,998,4,
Northwest Arctic Borough,AK,584,1,
Petersburg Borough,AK,48,0,
Prince of Wales-Hyder Census Area,AK,70,1,
Sitka City And Borough,AK,303,0,
Skagway Municipality,AK,18,0,
Southeast Fairbanks Census Area,AK,443,3,
Valdez-Cordova Census Area,AK,461,2,
Wrangell City And Borough,AK,26,0,
Yakutat Plus Hoonah-Angoon,AK,64,1,
Yukon-Koyukuk Census Area,AK,327,4,
Autauga,AL,6079,85,
Baldwin,AL,19361,262,
Barbour,AL,2061,49,
Bibb,AL,2411,58,
Blount,AL,6021,125,
Bullock,AL,1147,33,
Butler,AL,1934,64,
Calhoun,AL,12860,277,
Chambers,AL,3358,99,
Cherokee,AL,1751,37,
Chilton,AL,3772,93,
Choctaw,AL,546,23,
Clarke,AL,3417,48,
Clay,AL,1409,54,
Cleburne,AL,1350,36,
Coffee,AL,5199,94,
Colbert,AL,5959,117,
Conecuh,AL,1063,23,
Coosa,AL,851,23,
Covington,AL,3887,102,
Crenshaw,AL,1419,52,
Cullman,AL,8816,175,
Dale,AL,4580,106,
Dallas,AL,3328,138,
DeKalb,AL,8394,172,
Elmore,AL,9214,178,
Escambia,AL,3727,68,
Etowah,AL,13022,306,
Fayette,AL,1982,54,
Franklin,AL,3954,75,
Geneva,AL,2369,67,
Greene,AL,858,32,
Hale,AL,2044,64,
Henry,AL,1801,41,
Houston,AL,9979,255,
Jackson,AL,6424,99,
Jefferson,AL,69995,1333,
Lamar,AL,1291,32,
Lauderdale,AL,8513,207,
Lawrence,AL,2790,85,
Lee,AL,14766,146,
Limestone,AL,9241,130,
Lowndes,AL,1297,46,
Macon,AL,1391,43,
Madison,AL,31823,431,
Marengo,AL,2289,54,
Marion,AL,2730,92,
Marshall,AL,11147,198,
Mobile,AL,35230,703,
Monroe,AL,1650,38,
Montgomery,AL,22214,481,
Morgan,AL,13464,240,
Perry,AL,1045,27,
Pickens,AL,2209,53,
Pike,AL,2906,70,
Randolph,AL,1600,40,
Russell,AL,3981,30,
Shelby,AL,21509,204,
St. Clair,AL,8682,213,
Sumter,AL,975,31,
Talladega,AL,7373,161,
Tallapoosa,AL,3497,139,
Tuscaloosa,AL,23657,403,
Walker,AL,6426,239,
Washington,AL,1540,32,
Wilcox,AL,1198,25,
Winston,AL,2436,63,
Arkansas,AR,1939,38,
Ashley,AR,1739,33,
Baxter,AR,2769,96,
Benton,AR,26638,382,
Boone,AR,3576,78,
Bradley,AR,1316,31,
Calhoun,AR,387,3,
Carroll,AR,2707,41,
Chicot,AR,1583,40,
Clark,AR,1986,36,
Clay,AR,1660,46,
Cleburne,AR,1862,66,
Cleveland,AR,909,23,
Columbia,AR,2095,53,
Conway,AR,2126,31,
Craighead,AR,12655,175,
Crawford,AR,6673,104,
Crittenden,AR,5620,93,
Cross,AR,1885,47,
Dallas,AR,711,12,
Desha,AR,1301,21,
Drew,AR,1941,35,
Faulkner,AR,11513,148,
Franklin,AR,1596,33,
Fulton,AR,1056,44,
Garland,AR,9456,230,
Grant,AR,1535,32,
Greene,AR,5761,74,
Hempstead,AR,1784,18,
Hot Spring,AR,4703,68,
Howard,AR,1500,24,
Independence,AR,3642,120,
Izard,AR,1639,39,
Jackson,AR,3128,33,
Jefferson,AR,8503,163,
Johnson,AR,2668,31,
Lafayette,AR,492,7,
Lawrence,AR,1991,41,
Lee,AR,1630,35,
Lincoln,AR,3127,42,
Little River,AR,1113,40,
Logan,AR,2154,18,
Lonoke,AR,6643,108,
Madison,AR,1395,21,
Marion,AR,921,30,
Miller,AR,3715,33,
MS,AR,5507,112,
Monroe,AR,819,17,
Montgomery,AR,718,28,
NV,AR,762,24,
Newton,AR,675,26,
Ouachita,AR,2132,50,
Perry,AR,786,8,
Phillips,AR,1672,33,
Pike,AR,947,21,
Poinsett,AR,3052,75,
Polk,AR,1850,62,
Pope,AR,7586,100,
Prairie,AR,856,24,
Pulaski,AR,36593,570,
Randolph,AR,1913,49,
Saline,AR,11232,162,
Scott,AR,920,14,
Searcy,AR,640,15,
Sebastian,AR,14361,257,
Sevier,AR,2551,28,
Sharp,AR,1511,50,
St. Francis,AR,3412,37,
Stone,AR,948,30,
Union,AR,3612,100,
Van Buren,AR,1152,17,
Washington,AR,28991,329,
White,AR,7046,105,
Woodruff,AR,604,10,
Yell,AR,3305,67,
Apache,AZ,10236,365,
Cochise,AZ,10919,260,
Coconino,AZ,16185,306,
Gila,AZ,6333,209,
Graham,AZ,5244,71,
Greenlee,AZ,549,8,
La Paz,AZ,2378,68,
Maricopa,AZ,503012,8783,
Mohave,AZ,20750,624,
Navajo,AZ,15376,478,
Pima,AZ,107793,2144,
Pinal,AZ,45267,741,
Santa Cruz,AZ,7601,166,
Yavapai,AZ,17175,447,
Yuma,AZ,36219,769,
Alameda,CA,79318,1171,
Alpine,CA,77,0,
Amador,CA,3416,38,
Butte,CA,10791,156,
Calaveras,CA,1873,25,
Colusa,CA,2117,13,
Contra Costa,CA,61284,642,
Del Norte,CA,955,5,
El Dorado,CA,8850,91,
Fresno,CA,93734,1356,
Glenn,CA,2664,23,
Humboldt,CA,3067,32,
Imperial,CA,26840,583,
Inyo,CA,1213,34,
Kern,CA,101370,741,
Kings,CA,21797,213,
Lake,CA,3066,39,
Lassen,CA,5558,19,
Los Angeles,CA,1177340,19662,
Madera,CA,15175,201,
Marin,CA,12895,192,
Mariposa,CA,389,7,
Mendocino,CA,3769,42,
Merced,CA,28489,388,
Modoc,CA,446,4,
Mono,CA,1182,4,
Monterey,CA,41787,315,
Napa,CA,8878,67,
Nevada,CA,3852,74,
Orange,CA,258567,3726,
Placer,CA,19520,229,
Plumas,CA,624,6,
Riverside,CA,287534,3633,
Sacramento,CA,91796,1431,
San Benito,CA,5697,57,
San Bernardino,CA,283873,2522,
San Diego,CA,255865,3169,
San Francisco,CA,33653,387,
San Joaquin,CA,65891,1026,
San Luis Obispo,CA,19340,217,
San Mateo,CA,38229,481,
Santa Barbara,CA,31334,392,
Santa Clara,CA,108462,1726,
Santa Cruz,CA,14438,172,
Shasta,CA,10868,172,
Sierra,CA,47,0,
Siskiyou,CA,1701,13,
Solano,CA,29771,161,
Sonoma,CA,27542,291,
Stanislaus,CA,54887,921,
Sutter,CA,8766,94,
Tehama,CA,4528,51,
Trinity,CA,283,5,
Tulare,CA,47399,720,
Tuolumne,CA,3870,56,
Ventura,CA,76442,782,
Yolo,CA,12549,181,
Yuba,CA,5681,36,
Adams,CO,48380,625,
Alamosa,CO,1248,28,
Arapahoe,CO,48362,688,
Archuleta,CO,629,1,
Baca,CO,270,4,
Bent,CO,1469,21,
Boulder,CO,18508,245,
Broomfield,CO,3636,74,
Chaffee,CO,1408,23,
Cheyenne,CO,125,5,
Clear Creek,CO,356,2,
Conejos,CO,428,7,
Costilla,CO,178,2,
Crowley,CO,1954,14,
Custer,CO,164,1,
Delta,CO,2436,58,
Denver,CO,58432,765,
Dolores,CO,66,0,
Douglas,CO,21144,230,
Eagle,CO,4860,20,
El Paso,CO,50710,740,
Elbert,CO,1250,12,
Fremont,CO,5390,46,
Garfield,CO,5010,39,
Gilpin,CO,164,3,
Grand,CO,1226,5,
Gunnison,CO,1181,6,
Hinsdale,CO,17,0,
Huerfano,CO,299,17,
Jackson,CO,51,0,
Jefferson,CO,36348,702,
KIA,CO,91,3,
Kit Carson,CO,524,10,
La Plata,CO,2865,36,
Lake,CO,650,0,
Larimer,CO,19382,218,
Las Animas,CO,980,11,
