state,cases,deaths
AL,485212,9573
AK,56979,278
AZ,805037,15439
AR,314713,5336
CA,3521349,48794
CO,421327,5980
CT,273101,7523
DE,84181,1343
DC,39461,993
FL,1856419,29691
GA,955724,16110
GU,8684,131
HI,26962,427
ID,169084,1829
IL,1173897,22368
IN,656433,12325
IA,331747,5336
KS,293869,4614
KY,398665,4562
LA,422287,9440
ME,43224,656
MD,375156,7677
MA,565794,15726
MI,634539,16265
MN,477355,6480
MS,289892,6534
MO,519441,8140
MT,98465,1340
NE,198949,2167
NV,290399,4838
NH,72767,1152
NJ,761496,22784
NM,182050,3601
NY,1577454,46119
NC,838126,10863
ND,99183,1465
MP,",",2
OH,949695,16693
OK,417345,4132
OR,152190,2155
PA,913825,23529
PR,132239,1947
RI,123145,2376
SC,497937,8213
SD,111018,1853
TN,749512,10971
TX,2585482,42000
UT,365314,1834
VT,14251,193
VA,2575,25
VI,559930,7098
WA,336184,4886
WV,129055,2248
WI,610974,6856
WY,53683,662
